Age,Age_Category,Gender,Occupational_Status,Annual_Salary,State,City,Latitude,Longitude,Residence,Genre
21,21-30,Female,Student,,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Crime/Mystery
21,21-30,Female,Student,,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Action
21,21-30,Female,Student,,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Thriller
21,21-30,Female,Student,,Maharashtra ,Thane,19.18,72.9633,Town/City,Romantic Comedy
21,21-30,Female,Student,,Maharashtra ,Thane,19.18,72.9633,Town/City,Horror
21,21-30,Female,Student,,Maharashtra ,Thane,19.18,72.9633,Town/City,Crime/Mystery
23,21-30,Male,Employed,more than 9 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Romantic Comedy
23,21-30,Male,Employed,more than 9 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Sci-Fi/Fantasy
23,21-30,Male,Employed,more than 9 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Horror
23,21-30,Male,Employed,more than 9 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Crime/Mystery
23,21-30,Male,Employed,more than 9 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Action
23,21-30,Male,Employed,more than 9 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Thriller
23,21-30,Male,Employed,more than 9 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Anime
51,51-60,Male,Employed,more than 9 lakhs,Kerala ,Thrissur,10.52,76.21,Town/City,Sci-Fi/Fantasy
51,51-60,Male,Employed,more than 9 lakhs,Kerala ,Thrissur,10.52,76.21,Town/City,Crime/Mystery
51,51-60,Male,Employed,more than 9 lakhs,Kerala ,Thrissur,10.52,76.21,Town/City,Thriller
20,11-20,Female,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Romantic Comedy
20,11-20,Female,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Sci-Fi/Fantasy
20,11-20,Female,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Thriller
21,21-30,Male,Employed,between 1 and  3 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Sci-Fi/Fantasy
21,21-30,Male,Employed,between 1 and  3 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Crime/Mystery
21,21-30,Male,Employed,between 1 and  3 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Thriller
23,21-30,Male,Student,,Gujarat ,Vadodara,22.3,73.2,Town/City,Romantic Comedy
23,21-30,Male,Student,,Gujarat ,Vadodara,22.3,73.2,Town/City,Horror
23,21-30,Male,Student,,Gujarat ,Vadodara,22.3,73.2,Town/City,Crime/Mystery
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Romantic Comedy
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Horror
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Crime/Mystery
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Action
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Thriller
23,21-30,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Romantic Comedy
23,21-30,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Sci-Fi/Fantasy
23,21-30,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Action
49,41-50,Female,Unemployed,,Karnataka ,Mangalore,12.8703,74.8806,Town/City,Crime/Mystery
49,41-50,Female,Unemployed,,Karnataka ,Mangalore,12.8703,74.8806,Town/City,Thriller
22,21-30,Female,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Horror
22,21-30,Female,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Crime/Mystery
21,21-30,Male,Student,,Karnataka ,Mandya,12.5242,76.8958,Rural,Action
21,21-30,Male,Student,,Karnataka ,Mandya,12.5242,76.8958,Rural,Thriller
22,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Action
22,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Thriller
48,41-50,Female,Unemployed,,Kerala,Thrissur,10.52,76.21,Town/City,Romantic Comedy
48,41-50,Female,Unemployed,,Kerala,Thrissur,10.52,76.21,Town/City,Action
52,51-60,Male,Employed,less than 1 lakh,Kerala,Thrissur,10.52,76.21,Town/City,Crime/Mystery
52,51-60,Male,Employed,less than 1 lakh,Kerala,Thrissur,10.52,76.21,Town/City,Action
19,11-20,Male,Student,,Bihar,Jehanabad,25.2133,84.9853,Town/City,Romantic Comedy
19,11-20,Male,Student,,Bihar,Jehanabad,25.2133,84.9853,Town/City,Sci-Fi/Fantasy
