Age,Age_Category,Gender,State,City,Latitude,Longitude,Residence,Occupational_Status,Favourite_Movies,Movie_Genre
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,The Pursuit Of Happiness,Drama
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,Bangalore Days,Romantic Comedy
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,The Shawshank Redemption,Drama
23,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Student,The Dark Knight,Fantasy
23,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Student,Catch Me If You Can,Crime
23,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Student,Interstellar,Sci-Fi
49,41-50,Female,Karnataka ,Mangalore,12.8703,74.8806,Town/City,Unemployed,Kotigabba,Action
49,41-50,Female,Karnataka ,Mangalore,12.8703,74.8806,Town/City,Unemployed,Raazi,Thriller
49,41-50,Female,Karnataka ,Mangalore,12.8703,74.8806,Town/City,Unemployed,Sakath,Comedy
22,21-30,Female,Gujarat,Vadodara,22.3,73.2,Town/City,Student,Sooryavanshi,Action
22,21-30,Female,Gujarat,Vadodara,22.3,73.2,Town/City,Student,Wonder Woman,Superhero
21,21-30,Male,Karnataka ,Mandya,12.5242,76.8958,Rural,Student,Bharat Ane Nenu,Action
21,21-30,Male,Karnataka ,Mandya,12.5242,76.8958,Rural,Student,Bahubali,Action
21,21-30,Male,Karnataka ,Mandya,12.5242,76.8958,Rural,Student,Rajakumara,Action
22,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Town/City,Employed,Shershaah,Action
22,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Town/City,Employed,Sardar Udham,Action
22,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Town/City,Employed,Jai Bhim,Mystery
48,41-50,Female,Kerala,Thrissur,10.52,76.21,Town/City,Unemployed,Thappad,Drama
48,41-50,Female,Kerala,Thrissur,10.52,76.21,Town/City,Unemployed,Maniyarayile Ashokan,Romantic Comedy
48,41-50,Female,Kerala,Thrissur,10.52,76.21,Town/City,Unemployed,Kurup,Thriller
